,Suburb,Latitude,Longtitude,Distance(KM),Height above sea level(m)
40,SouthField,-34.0347222,18.4833333,15.511519070855456,16
61,Rosebank,-33.9519444,18.4738889,7.826328704047542,16
5,West Beach,-33.8104775,18.4789686,11.73726110782284,16
24,Three Anchor Bay,-33.9091667,18.3955556,2.8688053719760065,15
174,Heathfield,-34.05,18.4680556,16.34457691872549,15
12,Kommetjie,-34.1398647,18.3269939,27.0535327551333,14
172,Lotus River,-34.0430556,18.5213889,18.50692818398186,14
91,Langa,-33.9455556,18.53,12.940198033313617,14
70,Pinelands,-33.9316667,18.5127778,10.661921963010021,13
36,Montague Gardens,-33.8597498,18.5229164,12.25390387210182,13
21,Grassy Park,-34.0451287,18.5032529,17.548630506063887,12
2,Sun Valley,-34.123395599999995,18.396997022831712,23.37135034782927,12
86,Athlone,-33.9666667,18.505,11.508453372081723,12
9,Masiphumelele,-34.129372,18.375791,24.371834742036366,11
165,Brooklyn,-33.9088889,18.4791667,6.522756161701655,11
102,Retreat,-34.0541667,18.4763889,17.07444352488438,10
112,Lakeside,-34.0872222,18.4569444,19.814929656921674,10
34,Kirstenhof,-34.0716667,18.4505556,18.067899318703848,10
6,Rugby,-33.8976137,18.4877778,7.477573000819937,10
64,Macassar,-34.0661159,18.7674955,42.20282166166397,9
11,Table View,-33.8236111,18.4902778,11.419977992520378,9
3,Simon's Town,-34.193181,18.433266,30.612806035315984,8
65,Lavender Hill,-34.0736111,18.4833333,19.265539883417333,8
30,Mouille Point,-33.9000229,18.4038842,1.9065315052489116,7
100,Vrygrond,-34.0839266,18.487609769248806,20.451745035228907,6
77,Muizenberg,-34.0978389,18.484570761750607,21.712676379333818,6
25,Melkbosstrand,-33.722222,18.445833,19.30394723662797,6
117,Marina da Gama,-34.0910877,18.4771588,20.777888257773718,5
42,Foreshore,-33.9229547,18.4382413,2.8435085912859805,5
35,Green Point,-33.9042571,18.4059682,1.6464213312609122,4
63,Milnerton,-33.86923985,18.497790082442748,9.289380297900093,4
97,Steenberg,-34.0747222,18.4708333,18.920763238106886,4
109,Hout Bay,-34.043093,18.355645,16.4316374822345,4
38,Ocean View,-33.91222665,18.38910185158366,3.6427447556900328,3
